host_is_superhost,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,number_of_reviews,price
0.0,Gràcia,Private room in bed and breakfast,Private room,1,1.5 shared baths,1.0,1.0,32,28
0.0,Horta-Guinardó,Private room in rental unit,Private room,1,1 shared bath,2.0,1.0,21,30
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,14,143
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,179,53
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1.5 baths,1.0,1.0,34,32
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,8,36
0.0,Eixample,Entire rental unit,Entire home/apt,8,3 baths,4.0,6.0,55,343
0.0,Sarrià-Sant Gervasi,Entire villa,Entire home/apt,2,1 bath,4.0,5.0,0,126
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,0,52
0.0,Gràcia,Private room in rental unit,Private room,1,1.5 shared baths,1.0,1.0,26,64
1.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,132,246
0.0,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,7,2 baths,4.0,7.0,0,110
0.0,Gràcia,Private room in guest suite,Private room,2,1.5 baths,1.0,2.0,0,65
1.0,Sant Martí,Entire rental unit,Entire home/apt,7,2 baths,4.0,5.0,0,180
0.0,Sants-Montjuïc,Private room in rental unit,Private room,1,1 bath,1.0,1.0,18,27
0.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,50,137
0.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,32,247
0.0,Eixample,Entire rental unit,Entire home/apt,8,1.5 baths,4.0,7.0,15,96
1.0,Ciutat Vella,Private room in hostel,Private room,1,1 private bath,1.0,1.0,34,60
1.0,Sants-Montjuïc,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,55,40
0.0,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,1,110
0.0,Ciutat Vella,Private room in guest suite,Private room,3,1 private bath,2.0,2.0,127,65
0.0,Les Corts,Private room in rental unit,Private room,2,1 private bath,1.0,2.0,89,39
1.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,43,293
1.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,164,79
0.0,Ciutat Vella,Private room in rental unit,Private room,2,2 baths,1.0,1.0,218,50
0.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,31,118
0.0,Sant Martí,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,0,145
0.0,Ciutat Vella,Private room in condo,Private room,3,1.5 baths,1.0,3.0,33,65
1.0,Eixample,Entire rental unit,Entire home/apt,7,2 baths,3.0,5.0,76,80
0.0,Eixample,Private room in condo,Private room,2,1 shared bath,1.0,1.0,0,54
1.0,Eixample,Entire rental unit,Entire home/apt,6,1 bath,2.0,5.0,503,113
0.0,Eixample,Entire rental unit,Entire home/apt,5,1.5 baths,3.0,5.0,36,285
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,215,45
0.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,0,50
0.0,Eixample,Private room in rental unit,Private room,3,1.5 shared baths,1.0,2.0,9,22
0.0,Ciutat Vella,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,3,21
0.0,Sant Andreu,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,1,48
0.0,Gràcia,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,45,24
0.0,Sant Martí,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,0,35
0.0,Sants-Montjuïc,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,16,48
1.0,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,6.0,10,300
0.0,Eixample,Entire rental unit,Entire home/apt,8,1.5 baths,3.0,6.0,66,201
0.0,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,5,64
1.0,Eixample,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,81,49
0.0,Ciutat Vella,Entire serviced apartment,Entire home/apt,3,1 bath,1.0,2.0,106,100
0.0,Gràcia,Entire rental unit,Entire home/apt,5,2 baths,2.0,4.0,1,144
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,3,1.5 baths,2.0,2.0,14,39
0.0,Ciutat Vella,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,44,23
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,3,40
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,1,140
0.0,Gràcia,Entire serviced apartment,Entire home/apt,2,1 bath,1.0,1.0,1,118
0.0,Eixample,Private room in rental unit,Private room,1,2 shared baths,1.0,1.0,2,45
1.0,Nou Barris,Private room in rental unit,Private room,2,1 shared bath,1.0,2.0,24,30
0.0,Horta-Guinardó,Entire serviced apartment,Entire home/apt,4,1 bath,3.0,4.0,1,119
0.0,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,72,52
1.0,Eixample,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,0,90
0.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,3.0,3.0,21,106
0.0,Ciutat Vella,Private room in rental unit,Private room,4,2 baths,1.0,2.0,0,35
1.0,Ciutat Vella,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,184,54
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1.5 baths,1.0,1.0,0,50
1.0,Eixample,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,146,257
0.0,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,4.0,17,218
0.0,Horta-Guinardó,Entire rental unit,Entire home/apt,2,1 bath,2.0,2.0,0,45
0.0,Nou Barris,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,3,85
0.0,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,12,38
0.0,Horta-Guinardó,Entire rental unit,Entire home/apt,7,2 baths,4.0,10.0,58,271
0.0,Ciutat Vella,Entire condo,Entire home/apt,3,1 bath,2.0,2.0,3,52
0.0,Sants-Montjuïc,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,82,22
0.0,Ciutat Vella,Private room in rental unit,Private room,3,1 shared bath,1.0,2.0,13,39
0.0,Ciutat Vella,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,1,37
1.0,Ciutat Vella,Entire rental unit,Entire home/apt,6,1 bath,3.0,5.0,295,114
0.0,Gràcia,Entire rental unit,Entire home/apt,5,1 bath,2.0,2.0,0,201
1.0,Eixample,Entire rental unit,Entire home/apt,6,2 baths,2.0,4.0,31,215
0.0,Eixample,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,4,120
0.0,Gràcia,Entire rental unit,Entire home/apt,3,2 baths,2.0,2.0,1,92
0.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,135,90
1.0,Sants-Montjuïc,Entire condo,Entire home/apt,6,1 bath,3.0,4.0,15,75
0.0,Nou Barris,Private room in rental unit,Private room,1,1 private bath,1.0,1.0,3,17
