host_is_superhost,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,number_of_reviews,price
f,Gràcia,Private room in bed and breakfast,Private room,1,1.5 shared baths,1.0,1.0,32,$28.00
f,Horta-Guinardó,Private room in rental unit,Private room,1,1 shared bath,2.0,1.0,21,$30.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,14,$143.00
f,Ciutat Vella,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,179,$53.00
f,Ciutat Vella,Private room in rental unit,Private room,2,1.5 baths,1.0,1.0,34,$32.00
f,Ciutat Vella,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,8,$36.00
f,Eixample,Entire rental unit,Entire home/apt,8,3 baths,4.0,6.0,55,$343.00
f,Sarrià-Sant Gervasi,Entire villa,Entire home/apt,2,1 bath,4.0,5.0,0,$126.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,0,$52.00
f,Gràcia,Private room in rental unit,Private room,1,1.5 shared baths,1.0,1.0,26,$64.63
t,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,132,$246.00
f,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,7,2 baths,4.0,7.0,0,$110.00
t,Eixample,Room in boutique hotel,Private room,4,1 shared bath,,2.0,7,$139.00
f,Gràcia,Private room in guest suite,Private room,2,1.5 baths,1.0,2.0,0,$65.00
t,Sant Martí,Entire rental unit,Entire home/apt,7,2 baths,4.0,5.0,0,$180.00
f,Sants-Montjuïc,Private room in rental unit,Private room,1,1 bath,1.0,1.0,18,$27.00
f,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,50,$137.00
f,Eixample,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,32,$247.00
f,Eixample,Entire rental unit,Entire home/apt,8,1.5 baths,4.0,7.0,15,$96.00
t,Ciutat Vella,Private room in hostel,Private room,1,1 private bath,1.0,1.0,34,$60.00
t,Sants-Montjuïc,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,55,$40.00
f,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,1,$110.00
f,Ciutat Vella,Private room in guest suite,Private room,3,1 private bath,2.0,2.0,127,$65.00
f,Les Corts,Private room in rental unit,Private room,2,1 private bath,1.0,2.0,89,$39.00
t,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,43,$293.00
t,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,164,$79.00
f,Ciutat Vella,Private room in rental unit,Private room,2,2 baths,1.0,1.0,218,$50.00
f,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,31,$118.00
f,Sant Martí,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,0,$145.00
f,Ciutat Vella,Private room in condo,Private room,3,1.5 baths,1.0,3.0,33,$65.00
t,Eixample,Entire rental unit,Entire home/apt,7,2 baths,3.0,5.0,76,$80.00
f,Eixample,Private room in condo,Private room,2,1 shared bath,1.0,1.0,0,$54.00
t,Eixample,Entire rental unit,Entire home/apt,6,1 bath,2.0,5.0,503,$113.00
t,Eixample,Room in serviced apartment,Hotel room,6,,2.0,2.0,100,$127.00
f,Eixample,Entire rental unit,Entire home/apt,5,1.5 baths,3.0,5.0,36,$285.00
f,Ciutat Vella,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,215,$45.00
f,Sants-Montjuïc,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,0,$50.00
f,Eixample,Private room in rental unit,Private room,3,1.5 shared baths,1.0,2.0,9,$22.00
f,Ciutat Vella,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,3,$21.00
f,Sant Andreu,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,1,$48.00
f,Gràcia,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,45,$24.00
f,Sant Martí,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,0,$35.00
f,Sants-Montjuïc,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,16,$48.00
t,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,6.0,10,$300.00
f,Eixample,Entire rental unit,Entire home/apt,8,1.5 baths,3.0,6.0,66,$201.00
f,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,5,$64.00
t,Eixample,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,81,$49.00
f,Ciutat Vella,Entire serviced apartment,Entire home/apt,3,1 bath,1.0,2.0,106,$100.00
f,Gràcia,Entire rental unit,Entire home/apt,5,2 baths,2.0,4.0,1,$144.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,3,1.5 baths,2.0,2.0,14,$39.00
f,Ciutat Vella,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,44,$23.00
f,Ciutat Vella,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,3,$40.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,1,$140.00
f,Gràcia,Entire serviced apartment,Entire home/apt,2,1 bath,1.0,1.0,1,$118.00
f,Eixample,Private room in rental unit,Private room,1,2 shared baths,1.0,1.0,2,$45.00
t,Nou Barris,Private room in rental unit,Private room,2,1 shared bath,1.0,2.0,24,$30.00
f,Horta-Guinardó,Entire serviced apartment,Entire home/apt,4,1 bath,3.0,4.0,1,$119.00
f,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,72,$52.00
t,Eixample,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,0,$90.00
