,host_id,host_is_superhost,neighbourhood,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating,price
238,3441858,f,,Private room in bed and breakfast,Private room,1,,1.5 shared baths,1.0,1.0,32,4.87,$28.00
8093,239566170,f,,Private room in rental unit,Private room,1,,1 shared bath,2.0,1.0,21,4.76,$30.00
10496,33278356,f,,Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,14,4.21,$143.00
7184,252730149,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,179,4.84,$53.00
14019,284476332,f,,Private room in rental unit,Private room,2,,1.5 baths,1.0,1.0,34,4.47,$32.00
7153,193021430,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,8,4.63,$36.00
1857,20790978,f,,Entire rental unit,Entire home/apt,8,,3 baths,4.0,6.0,55,4.38,$343.00
7820,270230553,f,,Entire villa,Entire home/apt,2,,1 bath,4.0,5.0,0,,$126.00
10877,201741093,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,2.0,0,,$52.00
6661,173771925,f,,Private room in rental unit,Private room,1,,1.5 shared baths,1.0,1.0,26,4.77,$64.63
1141,13810481,t,"Barcelona, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,132,4.89,$246.00
10538,390203594,f,,Entire rental unit,Entire home/apt,7,,2 baths,4.0,7.0,0,,$110.00
7555,266193111,t,"Barcelona, Catalunya, Spain",Room in boutique hotel,Private room,4,,1 shared bath,,2.0,7,4.57,$139.00
13856,427640443,f,"Barcelona, Catalunya, Spain",Private room in guest suite,Private room,2,,1.5 baths,1.0,2.0,0,,$65.00
15367,301446770,t,,Entire rental unit,Entire home/apt,7,,2 baths,4.0,5.0,0,,$180.00
1924,17336479,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 bath,1.0,1.0,18,4.72,$27.00
6859,243240297,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,50,4.54,$137.00
9626,4459553,f,"BARCELONA, city, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,32,4.0,$247.00
14411,471327482,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,8,,1.5 baths,4.0,7.0,15,5.0,$96.00
10191,216015084,t,,Private room in hostel,Private room,1,,1 private bath,1.0,1.0,34,4.82,$60.00
2401,49563992,t,"Barcelona, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,55,4.74,$40.00
5847,121825,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,1,4.0,$110.00
4232,490987,f,"Barcelona, Catalunya, Spain",Private room in guest suite,Private room,3,,1 private bath,2.0,2.0,127,4.55,$65.00
2699,58171851,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 private bath,1.0,2.0,89,4.85,$39.00
3073,43565515,t,"Barcelona, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,43,4.63,$293.00
1565,24286294,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,164,4.74,$79.00
